prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
1.10.175.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1611087791	23969	22742	0	0	0	0	0	0																												1	426	0	426	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.176.0/21	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	427	0	427	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.184.0/24	{22742,6939,4651,23969}				1607071179	23969	22742	0	0	0	0	0	0																												1	428	0	428	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.185.0/24	{22742,6939,4651,23969}				1610989087	23969	22742	0	0	0	0	0	0																												1	429	0	429	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.186.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340561	23969	22742	0	0	0	0	0	0																												1	430	0	430	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.187.0/24	{22742,6939,4651,23969}				1611021988	23969	22742	0	0	0	0	0	0																												1	431	0	431	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.188.0/24	{22742,6939,4651,23969}				1611021986	23969	22742	0	0	0	0	0	0																												1	432	0	432	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.189.0/24	{22742,6939,4651,23969}				1611133437	23969	22742	0	0	0	0	0	0																												1	433	0	433	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.190.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	434	0	434	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.191.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1611087791	23969	22742	0	0	0	0	0	0																												1	435	0	435	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.192.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	436	0	436	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.193.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	437	0	437	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.194.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	438	0	438	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.195.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	439	0	439	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.196.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	440	0	440	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.197.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	441	0	441	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.198.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	442	0	442	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.199.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	443	0	443	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.200.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341010	23969	22742	0	0	0	0	0	0																												1	444	0	444	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.201.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340943	23969	22742	0	0	0	0	0	0																												1	445	0	445	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.202.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	446	0	446	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.203.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	447	0	447	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.204.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	448	0	448	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.205.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	449	0	449	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.206.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610340783	23969	22742	0	0	0	0	0	0																												1	450	0	450	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
